"...1","TCGA-FS-A1ZU-06A-12R-A18T-07"
"ENSG00000000003.15",5.8465
"ENSG00000000005.6",0.1516
"ENSG00000000419.13",23.6868
"ENSG00000000457.14",2.0132
"ENSG00000000460.17",2.849
"ENSG00000000938.13",1.0808
"ENSG00000000971.16",1.3812
"ENSG00000001036.14",15.8807
"ENSG00000001084.13",4.9816
"ENSG00000001167.14",26.2593
"ENSG00000001460.18",0.3791
"ENSG00000001461.17",2.223
"ENSG00000001497.18",5.0787
"ENSG00000001561.7",0.257
"ENSG00000001617.12",4.788
"ENSG00000001626.16",0.0206
"ENSG00000001629.10",2.8218
"ENSG00000001630.17",1.2102
"ENSG00000001631.16",0.4389
"ENSG00000002016.18",1.6691
"ENSG00000002079.14",0.0089
"ENSG00000002330.14",1.6597
"ENSG00000002549.12",42.9658
"ENSG00000002586.20",11.0754
"ENSG00000002586.20_PAR_Y",0
"ENSG00000002587.10",0.2659
"ENSG00000002726.21",0.0443
"ENSG00000002745.13",0.0057
"ENSG00000002746.15",0.0107
"ENSG00000002822.15",1.0808
"ENSG00000002834.18",20.0707
"ENSG00000002919.15",4.1785
"ENSG00000002933.9",1.6949
"ENSG00000003056.8",40.4207
"ENSG00000003096.14",0.1469
"ENSG00000003137.8",0.4388
"ENSG00000003147.19",1.1114
"ENSG00000003249.15",13.4627
"ENSG00000003393.15",4.2649
"ENSG00000003400.15",0.4182
"ENSG00000003402.20",1.0478
"ENSG00000003436.16",0.5891
"ENSG00000003509.16",2.8605
"ENSG00000003756.17",6.83
"ENSG00000003987.14",0.0888
"ENSG00000003989.18",3.6521
"ENSG00000004059.11",21.041
"ENSG00000004139.14",1.325
"ENSG00000004142.12",71.9655
"ENSG00000004399.13",22.5799
"ENSG00000004455.17",36.2356
"ENSG00000004468.13",0.1469
"ENSG00000004478.8",93.9023
"ENSG00000004487.17",32.7775
"ENSG00000004534.15",7.3485
"ENSG00000004660.15",1.1516
"ENSG00000004700.16",10.6894
"ENSG00000004766.17",1.3677
"ENSG00000004776.13",15.0041
"ENSG00000004777.18",0.3262
"ENSG00000004779.10",31.6732
"ENSG00000004799.8",1.8633
"ENSG00000004809.14",0.0048
"ENSG00000004838.14",0.071
"ENSG00000004846.16",10.7845
"ENSG00000004848.8",0
"ENSG00000004864.14",28.9498
"ENSG00000004866.22",4.4038
"ENSG00000004897.12",9.6665
"ENSG00000004939.15",0.0109
"ENSG00000004948.16",0.0398
"ENSG00000004961.15",7.9279
"ENSG00000004975.12",9.8103
"ENSG00000005001.10",0.0078
"ENSG00000005007.13",25.8894
"ENSG00000005020.13",5.8061
"ENSG00000005022.6",284.375
"ENSG00000005059.16",0.8813
"ENSG00000005073.6",4.4091
"ENSG00000005075.15",12.869
"ENSG00000005100.13",7.5771
"ENSG00000005102.14",0.0837
"ENSG00000005108.16",0.1417
"ENSG00000005156.12",5.9371
"ENSG00000005175.10",8.2094
"ENSG00000005187.12",0.0174
"ENSG00000005189.20",0.2586
"ENSG00000005194.15",19.857
"ENSG00000005206.17",5.5554
"ENSG00000005238.20",5.1195
"ENSG00000005243.10",0.8295
"ENSG00000005249.13",0.2494
"ENSG00000005302.19",1.9432
"ENSG00000005339.15",5.1037
"ENSG00000005379.17",0.0328
"ENSG00000005381.8",0.0212
"ENSG00000005421.9",0.007
"ENSG00000005436.14",4.1042
"ENSG00000005448.17",3.9954
"ENSG00000005469.12",0.3808
