"gene_type" "level"
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"transcribed_unitary_pseudogene" 1
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 1
"protein_coding" 1
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
"protein_coding" 1
"protein_coding" 2
"protein_coding" 1
"protein_coding" 1
"protein_coding" 2
"protein_coding" 2
"protein_coding" 2
